distance_km,bandwidth_MBps,server_load,cache_hit_ratio,cpu_utilization,ram_utilization,request_size_MB,storage_tier,latency_ms,egress_cost_per_gb
8696,106,0.82,0.51,0.85,0.57,584,NVMe,870.47,0.0337
5570,224,0.7,0.88,0.39,0.43,4133,HDD,270.24,0.0363
8999,167,0.49,0.52,0.69,0.37,4962,HDD,572.93,0.0369
6814,425,0.86,0.47,0.49,0.43,3186,NVMe,202.11,0.0334
1968,136,0.29,0.8,0.81,0.86,3682,SSD,183.48,0.0271
823,84,0.8,0.52,0.81,0.55,803,SSD,145.04,0.0352
8680,934,0.74,0.58,0.46,0.58,4159,SSD,133.85,0.0337
722,269,0.43,0.71,0.68,0.73,758,NVMe,63.61,0.0285
1859,254,0.3,0.8,0.85,0.39,1653,NVMe,106.78,0.0271
451,786,0.11,0.44,0.32,0.34,3766,HDD,46.37,0.0375
762,861,0.28,0.76,0.34,0.64,1329,NVMe,35.52,0.028
5452,57,0.34,0.66,0.41,0.82,2020,NVMe,996.81,0.0278
5186,464,0.18,0.48,0.31,0.8,3345,SSD,153.9,0.0301
5919,381,0.74,0.9,0.27,0.46,4301,NVMe,166.07,0.0269
2592,764,0.77,0.94,0.8,0.93,4181,HDD,68.85,0.0356
2950,754,0.95,0.53,0.21,0.8,3067,SSD,80.84,0.0333
3834,810,0.58,0.95,0.33,0.56,2587,HDD,60.39,0.0353
6912,376,0.95,0.54,0.5,0.75,2108,NVMe,233.31,0.0311
8905,918,0.7,0.81,0.91,0.7,1490,NVMe,131.87,0.0303
7760,217,0.24,0.82,0.21,0.4,4164,HDD,384.84,0.034
3375,683,0.45,0.48,0.72,0.63,3197,SSD,109.32,0.0321
5396,307,0.82,0.73,0.54,0.58,1929,SSD,206.51,0.0317
2100,643,0.13,0.69,0.8,0.62,3909,SSD,64.22,0.0277
2024,558,0.7,0.57,0.91,0.86,437,HDD,87.44,0.0391
5146,876,0.34,0.9,0.48,0.78,2617,SSD,85.89,0.0294
6818,788,0.81,0.89,0.36,0.62,3094,SSD,102.21,0.0284
863,953,0.76,0.53,0.43,0.75,477,SSD,56.62,0.0335
5118,954,0.21,0.51,0.45,0.84,2674,NVMe,103.12,0.028
6935,52,0.27,0.75,0.8,0.4,3776,HDD,1356.94,0.0346
8434,729,0.86,0.85,0.38,0.55,1973,HDD,138.62,0.0343
1735,395,0.34,0.42,0.53,0.69,3869,HDD,87.62,0.0367
4538,736,0.78,0.87,0.79,0.85,3606,NVMe,96.24,0.03
3385,678,0.19,0.72,0.51,0.67,171,NVMe,82.44,0.0279
7103,687,0.24,0.75,0.4,0.41,3211,SSD,125.48,0.0272
772,851,0.51,0.87,0.67,0.86,467,SSD,42.7,0.0287
4796,728,0.78,0.94,0.9,0.89,4934,SSD,97.99,0.031
7272,92,0.86,0.87,0.38,0.51,906,SSD,818.46,0.0318
5943,847,0.14,0.83,0.91,0.77,2384,NVMe,115.11,0.0262
3590,415,0.57,0.44,0.39,0.95,546,HDD,131.43,0.037
4026,573,0.19,0.7,0.53,0.35,4355,NVMe,109.26,0.0282
6113,204,0.79,0.84,0.31,0.79,4782,NVMe,322.21,0.0283
9899,294,0.21,0.51,0.6,0.91,306,HDD,395.39,0.0344
5073,772,0.23,0.87,0.4,0.43,1910,SSD,88.18,0.0256
5167,313,0.75,0.71,0.52,0.78,591,HDD,200.31,0.0354
7174,356,0.64,0.79,0.51,0.9,2009,HDD,239.64,0.0362
7812,200,0.1,0.91,0.82,0.89,4320,NVMe,428.28,0.0239
3633,889,0.39,0.66,0.31,0.93,1806,NVMe,78.41,0.0288
2149,688,0.16,0.81,0.88,0.34,3882,NVMe,60.03,0.027
8741,440,0.35,0.76,0.65,0.93,436,NVMe,236.29,0.0261
8255,439,0.31,0.71,0.93,0.86,4332,SSD,243.4,0.0277
7581,792,0.14,0.56,0.25,0.6,4591,NVMe,133.31,0.0276
116,803,0.8,0.89,0.3,0.69,2213,SSD,26.92,0.0293
8565,775,0.61,0.65,0.34,0.58,1123,HDD,143.94,0.0348
4099,454,0.38,0.95,0.38,0.66,2033,NVMe,106.25,0.0264
216,459,0.48,0.79,0.89,0.35,1533,HDD,46.26,0.036
3641,389,0.4,0.42,0.31,0.5,1596,NVMe,135.96,0.0309
5870,946,0.4,0.79,0.55,0.74,3417,NVMe,89.41,0.029
1669,286,0.48,0.52,0.47,0.73,1317,HDD,94.63,0.0356
2450,616,0.43,0.42,0.23,0.56,377,NVMe,90.78,0.0293
3729,504,0.69,0.57,0.4,0.4,440,HDD,115.52,0.0396
9106,996,0.3,0.89,0.56,0.53,1792,HDD,111.69,0.0334
2348,135,0.44,0.64,0.82,0.48,4676,NVMe,217.01,0.0279
6082,269,0.79,0.62,0.87,0.57,1422,NVMe,262.17,0.0301
5287,353,0.49,0.79,0.33,0.7,4110,HDD,178.15,0.0347
6625,401,0.46,0.89,0.82,0.89,3946,HDD,196.41,0.034
5294,574,0.21,0.4,0.27,0.61,425,HDD,135.16,0.0377
2477,127,0.43,0.9,0.26,0.62,1421,SSD,214.42,0.0294
9350,784,0.21,0.81,0.7,0.46,4359,NVMe,154.99,0.0274
7726,128,0.89,0.46,0.28,0.62,4212,SSD,648.71,0.0358
7321,910,0.72,0.65,0.42,0.38,3748,SSD,105.54,0.0326
9051,765,0.66,0.72,0.26,0.59,2687,NVMe,138.49,0.0309
5368,187,0.42,0.49,0.86,0.53,1842,SSD,335.08,0.0317
9169,357,0.77,0.94,0.66,0.78,3858,SSD,278.87,0.029
6201,78,0.65,0.86,0.81,0.88,2537,HDD,825.97,0.0337
4334,667,0.41,0.85,0.67,0.53,4722,SSD,92.49,0.0268
9760,865,0.59,0.48,0.82,0.78,1817,NVMe,174.11,0.0302
1918,560,0.47,0.95,0.41,0.41,497,SSD,58.95,0.0265
7489,335,0.83,0.93,0.68,0.37,4193,SSD,250.66,0.0311
7150,585,0.76,0.45,0.26,0.92,3953,HDD,176.99,0.0402
5313,761,0.13,0.67,0.78,0.81,4014,NVMe,115.23,0.0271
9891,664,0.64,0.85,0.7,0.83,2033,HDD,183.34,0.0359
1202,573,0.68,0.83,0.3,0.81,4847,SSD,54.11,0.0314
9442,766,0.44,0.82,0.79,0.58,3433,HDD,149.25,0.0359
779,632,0.84,0.89,0.59,0.72,703,SSD,49.96,0.0298
5112,389,0.78,0.72,0.57,0.46,481,HDD,165.32,0.036
7295,607,0.24,0.95,0.57,0.8,2265,HDD,143.37,0.0299
5044,53,0.87,0.71,0.83,0.31,106,NVMe,989.26,0.0315
854,839,0.72,0.78,0.22,0.71,2461,NVMe,39.65,0.0299
8527,819,0.1,0.53,0.95,0.32,1605,SSD,157.85,0.0302
5163,362,0.76,0.92,0.58,0.92,3762,SSD,170.75,0.0286
7560,982,0.17,0.58,0.88,0.66,3088,NVMe,129.83,0.0266
4559,659,0.76,0.56,0.71,0.95,3408,NVMe,119.33,0.03
3903,172,0.83,0.79,0.8,0.38,1775,HDD,254.22,0.0353
7853,674,0.26,0.57,0.38,0.52,3003,HDD,151.21,0.034
9731,904,0.55,0.61,0.71,0.57,2741,NVMe,149.14,0.0313
6727,150,0.63,0.86,0.49,0.73,1091,SSD,473.06,0.0276
6928,290,0.16,0.4,0.6,0.43,2075,NVMe,284.69,0.0309
4205,52,0.7,0.56,0.84,0.63,2179,NVMe,856.99,0.0315
7956,579,0.42,0.56,0.59,0.63,4263,HDD,187.51,0.0349
8334,532,0.21,0.66,0.36,0.49,3827,HDD,184.96,0.0349
2750,824,0.31,0.92,0.49,0.44,3484,NVMe,55.01,0.0255
7463,133,0.59,0.43,0.49,0.7,1072,NVMe,614.12,0.0317
7920,472,0.8,0.52,0.21,0.72,3467,SSD,196.72,0.0345
3387,455,0.73,0.83,0.27,0.76,4296,HDD,97.59,0.0356
5509,714,0.81,0.46,0.45,0.89,1466,HDD,132.31,0.0411
9563,512,0.9,0.47,0.61,0.55,849,SSD,235.85,0.0343
7544,506,0.38,0.68,0.93,0.85,3048,SSD,203.15,0.0305
5001,415,0.59,0.73,0.32,0.77,1063,SSD,146.57,0.0325
9658,993,0.93,0.87,0.6,0.49,3861,HDD,127.27,0.0359
7391,620,0.73,0.9,0.93,0.39,991,SSD,152.62,0.0304
9076,670,0.56,0.93,0.72,0.69,4701,SSD,157.05,0.0284
745,415,0.63,0.89,0.72,0.42,3166,SSD,34.05,0.0285
1785,252,0.94,0.46,0.81,0.65,4786,NVMe,131.8,0.0339
2161,544,0.82,0.86,0.66,0.67,4007,HDD,78.27,0.0356
9871,497,0.32,0.6,0.33,0.6,901,SSD,230.46,0.0306
5294,297,0.34,0.75,0.57,0.63,2175,SSD,211.47,0.0272
2281,588,0.51,0.72,0.54,0.79,2557,SSD,75.4,0.0319
2755,158,0.75,0.46,0.72,0.73,1880,SSD,234.76,0.0355
7506,670,0.61,0.76,0.79,0.77,3706,SSD,158.16,0.0298
1482,990,0.57,0.52,0.73,0.77,432,HDD,66.08,0.0362
3475,873,0.16,0.6,0.55,0.57,3714,HDD,71.32,0.0342
8190,911,0.33,0.78,0.39,0.92,2846,SSD,125.86,0.0282
4475,256,0.73,0.67,0.53,0.89,1310,HDD,217.02,0.0383
176,879,0.49,0.85,0.74,0.38,4049,NVMe,20.46,0.0288
3478,757,0.82,0.63,0.95,0.62,904,HDD,92.45,0.0378
7731,211,0.84,0.41,0.2,0.58,1534,SSD,416.29,0.0345
8974,739,0.24,0.91,0.87,0.79,3422,HDD,151.17,0.0302
2920,188,0.22,0.7,0.54,0.77,3103,HDD,188.35,0.0358
1658,938,0.73,0.79,0.66,0.81,1046,HDD,52.85,0.036
973,823,0.67,0.45,0.43,0.69,2275,HDD,59.44,0.0405
8757,92,0.4,0.94,0.61,0.85,1599,NVMe,974.34,0.0255
1326,248,0.76,0.89,0.92,0.47,4493,NVMe,90.6,0.0267
8659,932,0.8,0.55,0.52,0.8,2877,HDD,146.83,0.0369
8938,201,0.18,0.44,0.21,0.85,909,SSD,493.2,0.0319
1960,981,0.11,0.76,0.95,0.81,1241,HDD,63.99,0.0332
2180,246,0.65,0.78,0.27,0.77,2693,NVMe,120.89,0.0277
6304,261,0.16,0.41,0.56,0.62,4898,NVMe,286.71,0.0278
5657,450,0.8,0.82,0.68,0.79,1091,NVMe,158.96,0.0288
9660,327,0.78,0.79,0.7,0.52,1552,HDD,327.83,0.0351
8582,474,0.11,0.51,0.56,0.42,958,NVMe,229.21,0.0289
5146,632,0.21,0.64,0.23,0.94,3510,NVMe,119.41,0.0265
3701,357,0.41,0.89,0.21,0.67,3910,NVMe,124.17,0.0281
4715,535,0.34,0.76,0.63,0.67,4257,NVMe,115.38,0.0265
7234,459,0.48,0.57,0.29,0.89,2092,HDD,192.93,0.0367
8315,153,0.34,0.63,0.49,0.55,2883,HDD,578.58,0.0357
391,732,0.25,0.54,0.85,0.68,3529,HDD,54.59,0.0345
9753,426,0.42,0.73,0.54,0.6,2849,NVMe,261.27,0.027
3038,271,0.39,0.46,0.29,0.78,4499,NVMe,166.15,0.0295
4049,804,0.85,0.78,0.3,0.86,4734,SSD,85.87,0.0324
8139,146,0.48,0.6,0.25,0.53,2642,SSD,599.27,0.0334
5267,999,0.41,0.86,0.78,0.32,3432,NVMe,80.1,0.0249
3194,773,0.68,0.92,0.71,0.81,3736,NVMe,73.27,0.0281
470,527,0.38,0.5,0.55,0.53,104,HDD,55.03,0.0357
5126,892,0.78,0.63,0.94,0.71,4533,SSD,102.47,0.0327
5753,915,0.7,0.44,0.69,0.86,4757,SSD,123.35,0.0356
8750,204,0.33,0.81,0.46,0.8,4731,NVMe,465.24,0.0274
2631,377,0.57,0.49,0.75,0.65,4778,HDD,119.65,0.0379
9136,648,0.92,0.64,0.47,0.71,3385,SSD,173.38,0.0342
4581,322,0.38,0.54,0.39,0.93,796,SSD,188.97,0.0299
1362,478,0.17,0.58,0.77,0.73,3348,HDD,83.84,0.0343
309,819,0.28,0.64,0.62,0.63,2923,HDD,39.17,0.0336
5431,374,0.51,0.69,0.21,0.7,3688,HDD,176.32,0.0347
6616,649,0.34,0.76,0.94,0.76,826,HDD,147.75,0.0324
6926,710,0.62,0.76,0.22,0.62,3964,HDD,116.04,0.0361
5771,421,0.85,0.71,0.69,0.64,661,NVMe,170.92,0.0303
4777,399,0.23,0.8,0.56,0.51,386,SSD,152.59,0.0288
649,400,0.6,0.54,0.21,0.77,3556,NVMe,57.59,0.031
906,64,0.4,0.76,0.62,0.47,2823,HDD,181.62,0.0334
7816,291,0.67,0.91,0.24,0.49,1323,HDD,279.21,0.0339
991,944,0.15,0.57,0.22,0.64,844,SSD,44.05,0.0304
6796,924,0.6,0.81,0.76,0.83,1479,SSD,109.32,0.0288
3838,61,0.55,0.93,0.55,0.72,4113,NVMe,662.53,0.0262
9388,845,0.47,0.52,0.88,0.59,2716,NVMe,168.42,0.0314
7808,304,0.53,0.62,0.89,0.43,4389,HDD,284.83,0.0373
1056,785,0.82,0.86,0.66,0.33,525,HDD,45.03,0.037
5863,959,0.94,0.64,0.65,0.64,374,SSD,104.22,0.0315
5823,593,0.56,0.56,0.53,0.79,482,NVMe,142.33,0.0285
2733,705,0.38,0.82,0.55,0.61,3963,SSD,70.34,0.029
3730,993,0.38,0.83,0.54,0.63,2133,SSD,73.56,0.0305
6093,972,0.38,0.68,0.21,0.64,1118,SSD,88.72,0.0312
1853,206,0.77,0.44,0.93,0.82,292,SSD,142.18,0.034
7974,765,0.93,0.51,0.36,0.91,1839,SSD,143.39,0.0354
3925,626,0.74,0.91,0.23,0.57,1270,HDD,78.79,0.036
1822,249,0.27,0.41,0.35,0.41,803,NVMe,116.64,0.0298
1925,442,0.78,0.46,0.65,0.95,3927,HDD,97.07,0.0379
5210,678,0.19,0.75,0.49,0.43,2761,SSD,109.0,0.0281
5785,795,0.44,0.7,0.82,0.78,4226,SSD,114.81,0.0298
547,393,0.15,0.64,0.53,0.64,4086,NVMe,56.43,0.0271
9522,677,0.24,0.77,0.57,0.41,3304,NVMe,174.95,0.0256
3799,732,0.19,0.46,0.44,0.38,2403,SSD,86.69,0.0295
2969,369,0.15,0.58,0.39,0.45,3500,HDD,122.25,0.0346
5657,743,0.42,0.75,0.62,0.45,1659,NVMe,109.48,0.029
3417,557,0.6,0.86,0.3,0.9,1279,NVMe,95.92,0.0266
1966,561,0.44,0.78,0.25,0.76,798,SSD,66.81,0.0305
4916,391,0.38,0.47,0.39,0.71,385,SSD,164.35,0.0329
8377,259,0.12,0.66,0.32,0.52,1859,SSD,359.03,0.0271
4116,911,0.22,0.85,0.88,0.73,4724,NVMe,78.21,0.0262
9789,752,0.74,0.92,0.89,0.66,3765,NVMe,157.78,0.026
5787,598,0.31,0.81,0.29,0.53,4233,SSD,112.59,0.0267
9919,880,0.54,0.9,0.73,0.47,4514,HDD,143.3,0.035
4555,238,0.8,0.74,0.54,0.78,4652,HDD,226.64,0.0349
8418,848,0.42,0.6,0.52,0.92,4718,NVMe,146.65,0.0293
7144,733,0.45,0.69,0.43,0.37,1188,SSD,134.07,0.0286
9353,616,0.18,0.81,0.61,0.72,3843,HDD,183.23,0.0326
3011,718,0.82,0.41,0.93,0.48,4513,NVMe,100.51,0.0344
1512,129,0.94,0.57,0.66,0.86,2943,NVMe,168.32,0.0319
1798,636,0.15,0.81,0.57,0.84,2217,NVMe,61.27,0.0249
8341,489,0.37,0.66,0.56,0.75,237,NVMe,207.63,0.0283
1363,976,0.17,0.73,0.28,0.54,1016,SSD,37.23,0.0291
6816,180,0.39,0.74,0.66,0.76,4439,NVMe,414.48,0.0268
7548,889,0.16,0.72,0.35,0.93,620,HDD,120.87,0.0323
7120,633,0.2,0.41,0.92,0.59,168,SSD,162.58,0.0321
8865,335,0.93,0.41,0.6,0.5,4951,SSD,314.04,0.0374
3160,843,0.31,0.62,0.67,0.53,2646,NVMe,80.11,0.0291
2688,884,0.74,0.94,0.38,0.88,4972,SSD,47.92,0.0286
1396,609,0.57,0.56,0.82,0.61,4286,SSD,63.55,0.0335
137,395,0.69,0.62,0.55,0.37,420,SSD,40.63,0.0313
549,755,0.17,0.5,0.27,0.3,1973,NVMe,43.02,0.0296
7006,444,0.21,0.68,0.8,0.43,1351,NVMe,195.34,0.0262
814,208,0.15,0.85,0.45,0.63,458,HDD,64.66,0.0327
9856,84,0.31,0.93,0.46,0.9,4705,SSD,1205.63,0.0265
429,608,0.18,0.72,0.38,0.91,4353,SSD,39.85,0.0287
4227,537,0.14,0.88,0.73,0.66,2804,HDD,103.51,0.0333
9875,481,0.38,0.73,0.86,0.86,3984,HDD,249.13,0.0358
3363,293,0.68,0.61,0.66,0.8,3449,HDD,161.2,0.0387
1021,301,0.51,0.49,0.57,0.49,3042,SSD,73.98,0.0329
7509,248,0.15,0.49,0.69,0.92,4865,SSD,357.42,0.0306
9990,712,0.54,0.52,0.75,0.68,4126,HDD,193.46,0.0372
4879,83,0.88,0.68,0.77,0.51,4414,NVMe,620.9,0.0315
9495,110,0.77,0.78,0.29,0.39,3911,HDD,881.38,0.0341
6514,802,0.82,0.65,0.66,0.58,3250,HDD,118.12,0.0358
7302,329,0.38,0.86,0.9,0.77,3343,HDD,262.33,0.0328
7321,257,0.88,0.87,0.92,0.89,3128,SSD,322.75,0.0301
459,198,0.49,0.47,0.68,0.32,2189,HDD,71.08,0.0387
8819,427,0.12,0.48,0.6,0.88,1438,NVMe,258.03,0.03
7273,375,0.54,0.71,0.28,0.42,1939,SSD,222.03,0.0299
4480,506,0.56,0.41,0.52,0.31,2602,HDD,133.35,0.0406
5472,111,0.41,0.44,0.86,0.89,1332,NVMe,548.7,0.0325
8225,856,0.49,0.88,0.28,0.56,2884,SSD,119.1,0.0284
1701,487,0.36,0.71,0.49,0.63,680,NVMe,82.4,0.0267
550,172,0.35,0.79,0.24,0.48,4710,NVMe,56.93,0.0257
8785,847,0.64,0.5,0.65,0.82,988,NVMe,148.99,0.0313
4034,590,0.38,0.76,0.39,0.87,3694,HDD,104.83,0.0323
4349,680,0.15,0.82,0.8,0.63,258,NVMe,105.67,0.0275
1870,980,0.94,0.81,0.21,0.69,3160,HDD,44.91,0.0361
6666,830,0.43,0.71,0.41,0.34,3950,SSD,105.96,0.032
1097,695,0.6,0.66,0.84,0.66,522,SSD,66.73,0.0328
3099,58,0.36,0.63,0.87,0.91,575,SSD,580.47,0.0291
8456,176,0.79,0.47,0.51,0.48,2877,HDD,527.24,0.0373
2364,758,0.77,0.82,0.43,0.6,1958,HDD,59.01,0.0356
3250,637,0.79,0.94,0.38,0.8,2900,HDD,75.96,0.0337
1161,816,0.43,0.82,0.86,0.81,1161,HDD,48.97,0.0357
3200,937,0.77,0.64,0.82,0.36,1667,SSD,79.53,0.0342
3119,807,0.36,0.77,0.4,0.82,3236,NVMe,65.53,0.028
7307,427,0.53,0.77,0.91,0.53,916,SSD,212.1,0.0319
4270,52,0.38,0.94,0.72,0.78,4247,HDD,849.38,0.0308
4314,953,0.14,0.41,0.45,0.56,3652,NVMe,92.25,0.0281
152,535,0.49,0.92,0.45,0.46,2162,SSD,23.29,0.0302
1035,880,0.31,0.81,0.27,0.9,1275,HDD,36.36,0.035
4884,983,0.86,0.63,0.37,0.32,3971,HDD,83.0,0.0398
8973,178,0.52,0.83,0.43,0.88,1620,SSD,536.79,0.0273
3769,649,0.62,0.89,0.8,0.48,673,SSD,87.47,0.0301
4419,387,0.51,0.71,0.57,0.63,4683,HDD,157.32,0.0348
8526,389,0.71,0.75,0.56,0.9,1707,SSD,260.0,0.0306
821,560,0.41,0.61,0.74,0.58,638,HDD,53.37,0.0345
5577,282,0.79,0.51,0.25,0.32,1738,NVMe,231.29,0.0328
8806,103,0.45,0.88,0.27,0.37,947,SSD,874.49,0.0279
7682,539,0.55,0.76,0.92,0.44,3337,SSD,185.63,0.0285
1513,408,0.22,0.7,0.64,0.83,3962,NVMe,83.46,0.0287
7095,60,0.53,0.73,0.5,0.43,1167,NVMe,1215.4,0.0274
7040,525,0.55,0.59,0.48,0.71,3440,SSD,185.78,0.0307
6135,254,0.37,0.79,0.56,0.52,3251,NVMe,279.91,0.0252
2923,393,0.61,0.72,0.33,0.92,2076,HDD,106.81,0.0362
125,131,0.92,0.77,0.71,0.58,843,SSD,38.19,0.0327
4548,346,0.24,0.76,0.47,0.69,824,NVMe,173.88,0.0283
7671,347,0.84,0.86,0.86,0.93,4521,HDD,265.5,0.0368
9703,359,0.58,0.67,0.26,0.7,4834,HDD,298.82,0.0351
1285,309,0.54,0.89,0.57,0.4,582,SSD,66.56,0.0277
3272,348,0.46,0.57,0.39,0.69,1950,HDD,136.34,0.0375
5009,681,0.78,0.54,0.23,0.31,1641,SSD,109.42,0.034
5247,207,0.52,0.88,0.45,0.75,4802,HDD,290.1,0.0347
2874,977,0.5,0.76,0.56,0.44,1831,HDD,57.62,0.0345
3598,986,0.23,0.44,0.6,0.42,3723,HDD,85.06,0.0381
6435,961,0.21,0.48,0.3,0.68,2658,NVMe,120.63,0.0299
4598,449,0.32,0.88,0.41,0.55,4934,HDD,122.45,0.0314
7376,657,0.75,0.94,0.66,0.58,3143,SSD,137.37,0.0286
8631,535,0.6,0.67,0.33,0.41,2796,HDD,186.71,0.0368
5946,654,0.38,0.45,0.47,0.8,3294,NVMe,136.46,0.03
6907,813,0.6,0.64,0.85,0.35,2798,HDD,134.9,0.0365
9911,71,0.73,0.44,0.38,0.7,2825,NVMe,1437.91,0.032
7198,982,0.32,0.78,0.38,0.41,256,SSD,96.84,0.0281
6905,78,0.47,0.69,0.56,0.73,4675,SSD,930.31,0.0307
9959,376,0.85,0.41,0.83,0.46,4502,SSD,306.94,0.0345
6283,886,0.57,0.74,0.3,0.57,1423,SSD,95.33,0.0321
5075,117,0.47,0.61,0.52,0.51,1622,SSD,464.33,0.0308
3826,446,0.35,0.75,0.29,0.45,2033,SSD,122.45,0.0275
4361,992,0.64,0.5,0.35,0.82,3649,SSD,93.35,0.0338
9016,590,0.91,0.84,0.7,0.88,3089,HDD,190.44,0.0352
1559,552,0.17,0.86,0.91,0.39,2100,HDD,63.19,0.0322
718,362,0.93,0.6,0.4,0.31,4558,SSD,48.93,0.0343
5446,162,0.77,0.71,0.73,0.81,528,NVMe,374.81,0.0315
194,245,0.69,0.49,0.74,0.7,1584,NVMe,66.11,0.0297
2358,292,0.11,0.89,0.28,0.54,1821,SSD,103.08,0.0269
6311,319,0.12,0.86,0.81,0.89,1332,HDD,237.74,0.0316
8013,737,0.26,0.49,0.69,0.45,3257,HDD,157.27,0.038
7159,365,0.91,0.44,0.77,0.34,3807,SSD,250.71,0.0365
6804,679,0.56,0.87,0.9,0.67,2077,SSD,141.34,0.0278
2870,299,0.8,0.77,0.59,0.37,820,SSD,127.77,0.0294
5032,539,0.72,0.91,0.87,0.91,521,SSD,119.04,0.0313
8217,153,0.75,0.66,0.51,0.84,3993,SSD,580.44,0.0302
8639,314,0.46,0.58,0.9,0.39,2758,SSD,311.93,0.0297
4559,980,0.78,0.67,0.46,0.43,254,HDD,83.79,0.0382
9526,972,0.32,0.75,0.74,0.44,577,HDD,129.25,0.0349
2111,171,0.12,0.7,0.71,0.44,2554,SSD,155.45,0.0282
5944,868,0.59,0.6,0.93,0.33,4736,NVMe,114.89,0.0301
4866,436,0.65,0.43,0.76,0.68,3347,SSD,161.3,0.0338
7257,865,0.22,0.68,0.42,0.4,3627,HDD,113.44,0.036
1044,953,0.8,0.86,0.43,0.8,2458,HDD,40.6,0.0351
8885,580,0.85,0.66,0.21,0.52,2343,NVMe,187.71,0.0309
5227,151,0.94,0.77,0.37,0.56,1542,HDD,372.85,0.0353
8829,630,0.68,0.44,0.2,0.43,2328,SSD,168.29,0.0335
2090,626,0.38,0.74,0.88,0.54,2705,NVMe,74.75,0.0265
4242,342,0.22,0.76,0.84,0.31,4022,HDD,161.24,0.035
5224,760,0.69,0.88,0.38,0.38,3163,NVMe,85.39,0.0261
3447,877,0.64,0.8,0.82,0.47,552,HDD,78.2,0.0357
7898,796,0.83,0.8,0.33,0.64,910,SSD,125.05,0.0316
1950,340,0.39,0.62,0.85,0.86,3174,NVMe,102.5,0.0288
9158,657,0.73,0.67,0.31,0.47,3817,SSD,168.61,0.0308
6787,181,0.61,0.92,0.33,0.74,4059,NVMe,397.13,0.0261
7841,248,0.39,0.89,0.57,0.31,1674,HDD,343.75,0.0325
6392,941,0.64,0.48,0.41,0.66,4656,HDD,112.6,0.0381
8525,400,0.45,0.5,0.35,0.86,493,HDD,255.55,0.0358
3155,542,0.41,0.83,0.4,0.55,4843,SSD,84.64,0.0275
6788,331,0.18,0.57,0.83,0.73,1274,SSD,258.64,0.031
2652,390,0.55,0.55,0.94,0.39,3894,HDD,118.31,0.0362
2731,790,0.78,0.92,0.39,0.37,4052,HDD,50.58,0.0366
5812,628,0.78,0.93,0.92,0.84,2486,SSD,124.65,0.031
6558,429,0.34,0.49,0.74,0.78,4540,HDD,199.72,0.038
5992,326,0.77,0.65,0.79,0.42,2372,HDD,231.24,0.0378
6523,303,0.87,0.54,0.27,0.42,2646,SSD,246.95,0.0323
6883,455,0.16,0.64,0.55,0.47,1477,NVMe,199.3,0.0275
6150,301,0.43,0.66,0.76,0.65,2456,SSD,251.5,0.0303
1061,115,0.55,0.41,0.29,0.51,3217,HDD,131.1,0.0395
8630,574,0.67,0.77,0.61,0.79,2930,HDD,189.0,0.0374
6736,356,0.22,0.83,0.69,0.8,967,HDD,223.62,0.0336
4533,845,0.37,0.41,0.58,0.56,2360,SSD,102.53,0.0331
9351,617,0.87,0.54,0.77,0.69,2258,HDD,195.95,0.0384
9364,571,0.48,0.63,0.64,0.92,4463,HDD,197.06,0.036
8794,688,0.61,0.91,0.66,0.78,1839,NVMe,166.64,0.0276
7370,665,0.11,0.91,0.22,0.6,1589,HDD,127.23,0.0316
7074,65,0.18,0.94,0.52,0.56,1798,NVMe,1110.7,0.0246
3257,227,0.78,0.59,0.91,0.37,168,SSD,201.49,0.0327
4775,653,0.78,0.68,0.25,0.34,522,NVMe,100.15,0.031
2266,893,0.16,0.52,0.33,0.38,4360,NVMe,60.68,0.0285
4022,509,0.2,0.74,0.25,0.73,4318,SSD,116.49,0.028
9139,279,0.37,0.7,0.34,0.5,3307,SSD,354.91,0.0311
4128,748,0.4,0.53,0.34,0.92,850,SSD,104.19,0.0325
3536,169,0.22,0.4,0.52,0.39,2881,HDD,254.66,0.0354
1071,974,0.71,0.61,0.56,0.72,3895,SSD,56.52,0.0311
6549,275,0.18,0.92,0.9,0.93,1585,SSD,280.48,0.0257
4457,816,0.68,0.89,0.41,0.47,2820,SSD,78.22,0.031
7737,654,0.72,0.66,0.31,0.61,1928,SSD,151.49,0.0319
3700,762,0.44,0.84,0.72,0.63,999,HDD,81.35,0.0341
221,285,0.7,0.81,0.82,0.86,967,HDD,42.97,0.0338
9248,844,0.37,0.73,0.37,0.64,2122,HDD,138.0,0.0359
8361,849,0.24,0.66,0.24,0.59,2641,HDD,133.02,0.0332
1860,883,0.79,0.52,0.23,0.56,2539,NVMe,63.0,0.0315
9039,835,0.4,0.87,0.56,0.32,4447,SSD,132.69,0.0293
3227,95,0.3,0.61,0.39,0.75,721,NVMe,378.92,0.0294
1746,665,0.47,0.71,0.61,0.42,2361,NVMe,54.75,0.0268
704,852,0.37,0.71,0.85,0.33,3096,NVMe,41.25,0.0276
5472,295,0.24,0.55,0.4,0.55,4677,NVMe,215.45,0.0278
8525,720,0.26,0.88,0.65,0.87,871,HDD,146.1,0.033
1058,543,0.88,0.57,0.25,0.39,3689,HDD,58.95,0.0383
2141,964,0.64,0.74,0.69,0.88,1866,NVMe,58.66,0.0282
4681,753,0.93,0.73,0.22,0.55,4312,NVMe,94.38,0.0317
1220,913,0.55,0.83,0.83,0.93,2894,NVMe,56.2,0.0262
